UID,formula,Egap,Ecbm,Evbm,Evac,Efermi,wf,EA,IE,work_function
3420,In2 S2,1.869,-2.6788,-4.5478,1.922231646,-4.33286657,6.255098216,4.601031646,6.470031646,5.535531646
3473,Sc2 O2,0.71,-1.8202,-2.5302,1.410475765,-2.30846169,3.718937455,3.230675765,3.940675765,3.585675765
820,Al2 Se2,2.1433,-1.8101,-3.9534,1.862251907,-3.74074815,5.603000057,3.672351907,5.815651907,4.744001907
3423,Ir2 O2,0.0301,-3.2618,-3.2919,2.281179649,-3.28239126,5.563570909,5.542979649,5.573079649,5.558029649
1459,Sn1 Br2,2.2904,-2.9502,-5.2406,1.2191478,-5.0290058,6.2481536,4.1693478,6.4597478,5.3145478
120,Ga1 N1,1.99,-2.7867,-4.7767,0.526899765,-4.56491298,5.091812745,3.313599765,5.303599765,4.308599765
2726,Pb1 Se2,0.0929,-4.4604,-4.5533,1.40420484,-4.49877673,5.90298157,5.86460484,5.95750484,5.91105484
2691,Mo1 Se2,1.5083,-2.1183,-3.6266,1.674130059,-3.41268254,5.086812599,3.792430059,5.300730059,4.546580059
1645,Ti1 Cl2,0.8905,-1.889,-2.7795,1.482088418,-2.5645129,4.046601318,3.371088418,4.261588418,3.816338418
2782,Sn1 O2,0.6631,-6.3661,-7.0292,1.462769092,-6.81336267,8.276131762,7.828869092,8.491969092,8.160419092
2735,Pd1 Se2,,,,1.359273437,-3.35029678,4.709570217,,,3.655318
140,Sn1 Se1,2.2496,-2.5869,-4.8365,1.382273444,-4.62092418,6.003197624,3.969173444,6.218773444,5.093973444
1420,Mg1 I2,3.6197,-1.1597,-4.7794,1.606566617,-4.55691138,6.163477997,2.766266617,6.385966617,4.576116617
2824,Zr1 O2,4.2793,-2.5424,-6.8217,1.044056144,-6.61332266,7.657378804,3.586456144,7.865756144,5.726106144
1402,Ge1 Br2,2.4003,-2.8552,-5.2555,1.219291279,-5.045009,6.264300279,4.074491279,6.474791279,5.274641279
848,In2 S2,1.7927,-2.7397,-4.5324,1.917779501,-4.31686337,6.234642871,4.657479501,6.450179501,5.553829501
1614,Pb1 I2,2.4265,-2.3022,-4.7287,1.642654668,-4.51690338,6.159558048,3.944854668,6.371354668,5.158104668
1612,Pb1 Br2,3.0383,-2.7558,-5.7941,1.3211152,-5.58111622,6.90223142,4.0769152,7.1152152,5.5960652
1484,Zn1 Cl2,4.5925,-1.963,-6.5555,1.239272142,-6.33326665,7.572538792,3.202272142,7.794772142,5.498522142
1663,Zr1 Br2,0.8132,-1.3706,-2.1838,1.521827725,-1.97239448,3.494222205,2.892427725,3.705627725,3.299027725
1382,Ca1 I2,3.8726,-1.2868,-5.1594,1.521823016,-4.9409882,6.462811216,2.808623016,6.681223016,4.744923016
