,huid,lat_a,lat_b,lat_c
326,huid-16219-AA,3.989235351630704,3.9892341401550024,38.0
327,huid-10322-AA,4.297682345410818,4.2976423382121745,38.0
328,huid-11398-AB,3.7495250214811997,3.749487081214067,38.0
329,huid-1229-AA,3.5465243120154906,3.5465053054453035,38.0
330,huid-15471-AB,4.261054151122147,4.2610635920536435,38.0
331,huid-3360-AB,3.845199867435531,3.8451936151802473,38.0
332,huid-633-AA,4.125555489525024,4.1255555181696835,38.0
333,huid-7368-AA,3.949471507612927,3.949490996109423,38.0
334,huid-4450-AA,3.986354998011426,3.9863549851609257,38.0
335,huid-8970-AA,3.907974644321867,3.9079733019343728,38.0
336,huid-10625-AA,3.5596942234113653,3.559701162539716,38.0
337,huid-8427-AA,3.841409442621138,3.8414123191027376,38.0
338,huid-9859-AA,4.026195214881194,4.026239662907424,38.0
339,huid-923-AA,4.08940060156681,4.088926950048888,38.0
340,huid-13642-AB,3.636891325232454,3.636891431243841,38.0
341,huid-5640-AB,3.4928157857372044,3.492831978758104,38.0
342,huid-6796-AB,3.7081621456958236,3.7081626432002865,38.0
343,huid-1905-AA,3.4795620126726443,3.4795592096227574,38.0
344,huid-13533-AA,4.197610471089738,4.197747629819425,38.0
345,huid-10122-AB,4.178328436242032,4.1783012784719125,38.0
346,huid-5480-AB,4.095974234589005,4.095976430913256,38.0
347,huid-11514-AB,3.5653164946789926,3.5653675118198462,38.0
348,huid-9614-AB,3.779835788008431,3.779835615493494,38.0
349,huid-5507-AB,3.986218991807049,3.9863682047680875,38.0
350,huid-1328-AB,4.361267346378476,4.359860995450503,38.0
351,huid-964-AB,4.075630098716635,4.079646094052582,38.0
352,huid-722-AB,4.118836522772069,4.118837523027955,38.0
353,huid-7367-AB,3.9478870737419687,3.947939794535885,38.0
354,huid-14164-AB,3.5803694304090485,3.5803628426055902,38.0
355,huid-12292-AA,3.6930370875017786,3.693346093621244,38.0
356,huid-8788-AA,4.010108740548586,4.0101074518390885,38.0
357,huid-13182-AA,3.619795228811635,3.6198401060058276,38.0
358,huid-640-AB,4.121767961158114,4.1217680503399015,38.0
359,huid-28-AA,3.193943516438895,3.1939436795948906,38.0
360,huid-12640-AA,3.211681833543065,3.211680690523071,38.0
361,huid-13394-AB,4.077809456784797,4.077532652298059,38.0
362,huid-4538-AA,3.340372993551045,3.3403723796206495,38.0
363,huid-16344-AB,3.571329695328884,3.571329795149677,38.0
364,huid-11262-AA,4.010104679701366,4.009964276940378,38.0
365,huid-780-AB,4.081809734732296,4.081809536931651,38.0
366,huid-15272-AB,3.678349876089506,3.6783675357243695,38.0
367,huid-4209-AB,3.6106268598802713,3.6106198447860627,38.0
368,huid-3943-AB,3.696550810402373,3.6965362265745694,38.0
369,huid-9101-AA,3.9139660020563385,3.914151833552778,38.0
370,huid-15272-AA,3.6742183785458926,3.6742237904070563,38.0
371,huid-15079-AA,4.061930396275108,4.0619380400668295,38.0
372,huid-12123-AB,3.865330214628536,3.8655247878478716,38.0
373,huid-14703-AB,3.991149680558752,3.9911348026738396,38.0
374,huid-7884-AB,3.880835038750995,3.8808282468652857,38.0
375,huid-13845-AA,3.8539410140361645,3.8540124707641845,38.0
376,huid-4767-AB,3.1401656827548203,3.1401363971888387,38.0
377,huid-426-AB,3.4652950138617236,3.46529765067277,38.0
378,huid-14918-AB,3.737486884204744,3.7374865695123902,38.0
379,huid-5139-AA,3.5496345077791966,3.5496341967230185,38.0
380,huid-992-AB,4.067213859194943,4.067239345032955,38.0
381,huid-16458-AB,3.1682083146383837,3.168255990862802,38.0
382,huid-11910-AB,4.152763233085007,4.152065143749797,38.0
383,huid-3189-AB,4.032748282641278,4.0328433887205115,38.0
384,huid-15851-AB,4.422286444232452,4.422374703057124,38.0
385,huid-8730-AA,4.030717268772684,4.030717510672293,38.0
386,huid-12056-AA,4.125376028540333,4.125376150645493,38.0
387,huid-13844-AA,3.8373553349581453,3.8373553243951615,38.0
388,huid-16088-AB,3.1686754500136085,3.1686766301268694,38.0
389,huid-4169-AA,3.674682029800123,3.6746888362113124,38.0
390,huid-12688-AA,3.4836871926782482,3.483674112389481,38.0
391,huid-2707-AB,3.3114881892273473,3.311988512920484,38.0
392,huid-2631-AA,3.295610946804612,3.295611999007935,38.0
393,huid-4423-AB,4.083117982986474,4.083117988623472,38.0
394,huid-5295-AA,4.084233517850828,4.084179375961896,38.0
395,huid-9803-AB,4.084201707045365,4.084201759550154,38.0
396,huid-4421-AB,4.047107034527516,4.047107087456365,38.0
397,huid-9857-AB,4.026632714556714,4.026625492682953,38.0
398,huid-14765-AB,4.009746627196625,4.009714282808984,38.0
399,huid-16278-AB,3.246099927344055,3.2460984400108748,38.0
400,huid-1649-AB,3.6085415123056412,3.60854121983113,38.0
401,huid-3163-AA,4.065848274281154,4.065738826014547,38.0
402,huid-10706-AA,4.092276119701486,4.092807001390656,38.0
403,huid-10677-AB,3.5620521698335397,3.5620231393585544,38.0
404,huid-4514-AB,4.0138695102806565,4.013936123320035,38.0
405,huid-9803-AA,4.077177798881434,4.077177789857076,38.0
406,huid-12395-AB,3.7981541247070623,3.7981304735996853,38.0
407,huid-5709-AB,3.454827709457302,3.4548290216198785,38.0
408,huid-14317-AA,3.7044994513759266,3.7044971232049435,38.0
409,huid-8730-AB,4.033910811440168,4.033869546199597,38.0
410,huid-6299-AA,4.487811252734246,4.487808316613795,38.0
411,huid-5048-AB,3.5782744164938323,3.5782276506538007,38.0
412,huid-10097-AB,4.20498006304009,4.20496231507562,38.0
413,huid-12440-AB,3.8170166410399955,3.817018314609186,38.0
